,Pieces,Weight,Commodity Class,Base Retail,distance(mi)
140,1,652,65.0,161.06,1375.8145560274954
141,1,476,65.0,126.73,851.9677785305838
142,1,124,70.0,124.87,1461.4671250919978
143,1,152,70.0,126.73,982.8024189903829
144,1,100,85.0,126.73,362.48747592819706
146,1,1219,65.0,180.05,987.452372129913
147,1,119,85.0,124.84,1230.2896561719897
148,1,119,85.0,126.7,1369.5215235987212
149,1,119,85.0,126.7,809.1616704337822
150,1,119,85.0,141.6,1419.7765091662739
151,1,550,65.0,141.57,1375.8145560274954
152,1,738,65.0,163.62,1085.151259533345
153,1,239,65.0,116.07,192.3484045061464
154,1,265,65.0,126.7,670.0357660708671
155,1,800,65.0,126.7,266.41194217461674
156,1,1022,65.0,142.52,852.8714258361464
158,1,1123,65.0,179.88,949.347064190071
159,1,376,65.0,124.81,1367.3157206193225
160,1,215,85.0,104.96,821.571412604763
161,1,478,65.0,126.59,198.72625632626466
162,1,653,65.0,130.68,1008.2602029280096
163,1,119,85.0,124.73,1153.8382249151834
164,1,125,85.0,126.59,645.3418973667323
165,1,342,65.0,126.59,975.943937020399
166,1,462,65.0,115.06,1210.1870325725858
167,1,110,85.0,124.73,1449.0250434053007
168,1,181,250.0,168.16,987.452372129913
169,4,6010,65.0,150.83,32.80973586322596
170,1,220,65.0,124.68,1193.0955245465823
171,1,522,65.0,133.4,1674.110954392598
172,1,1024,65.0,136.83,722.8176627888323
173,1,1590,65.0,179.63,447.30251443448486
174,1,122,85.0,126.53,670.0357660708671
175,1,528,65.0,126.53,987.452372129913
176,1,706,65.0,130.29,858.9871490269865
177,1,845,65.0,155.62,1207.5131273153795
178,2,1019,65.0,163.25,1367.3157206193225
179,1,378,65.0,124.68,1421.8327877656768
181,1,780,65.0,148.87,1367.3157206193225
182,1,462,65.0,126.53,1237.722490763909
183,1,540,65.0,126.53,29.065430946602977
184,1,450,65.0,129.32,1630.433934090656
185,1,241,65.0,136.19,722.8176627888323
186,1,264,65.0,136.19,991.7639611063445
187,1,123,85.0,124.68,1228.819522768101
188,1,125,85.0,126.53,655.3601275331928
189,2,354,125.0,160.75,1214.202103206217
190,1,212,65.0,115.03,1214.202103206217
191,1,396,65.0,124.68,1466.8070884889728
192,1,324,65.0,124.68,1414.7337000483913
193,1,760,65.0,141.5,987.452372129913
194,1,475,65.0,126.53,851.9677785305838
195,1,402,65.0,168.77,973.4703793109758
196,1,345,65.0,126.53,722.8176627888323
197,1,520,65.0,126.53,447.30251443448486
198,1,256,65.0,126.53,991.7639611063445
199,1,436,65.0,126.53,855.5900918106032
200,1,275,65.0,126.53,1437.574572675189
201,1,527,65.0,133.7,1302.9473069901694
202,1,793,65.0,162.52,1345.4089207710665
203,1,269,65.0,121.53,681.6993405480931
204,1,585,65.0,124.68,1197.6171330364539
205,1,449,65.0,126.78,433.1888034242847
206,1,571,65.0,138.37,1237.722490763909
207,1,308,70.0,144.09,1214.202103206217
208,2,1290,65.0,126.53,29.065430946602977
209,1,325,65.0,126.53,1267.990337281148
210,1,900,65.0,156.18,887.4926029535294
211,1,1229,65.0,178.87,1226.952483984425
212,1,417,65.0,126.56,734.179149496537
213,1,391,65.0,126.56,987.452372129913
214,1,265,65.0,126.56,1074.0049851388987
215,1,363,65.0,126.56,1480.8184038634831
216,1,122,85.0,124.71,1153.8382249151834
217,1,122,85.0,126.56,1380.0312903877336
218,1,670,65.0,126.56,266.41194217461674
219,1,439,65.0,126.56,734.179149496537
220,1,742,65.0,140.77,1204.8468473048974
221,1,966,65.0,159.4,949.347064190071
222,1,1217,65.0,164.5,1207.5131273153795
223,1,490,65.0,94.37,172.46436540495793
224,1,1318,65.0,106.59,29.065430946602977
225,1,477,65.0,124.71,1185.3683430541128
226,1,333,65.0,126.56,991.7639611063445
227,1,495,65.0,126.56,855.5900918106032
228,1,344,65.0,126.56,1008.2602029280096
229,1,303,65.0,126.56,852.8714258361464
230,1,219,65.0,126.56,1179.6540928676413
231,1,488,65.0,126.56,1237.722490763909
232,1,484,65.0,128.74,1302.9473069901694
233,1,410,65.0,129.35,1630.433934090656
234,1,417,65.0,130.09,1437.574572675189
235,1,515,65.0,131.51,1307.8584247541723
236,1,1070,65.0,148.94,1207.5131273153795
237,1,1423,65.0,149.86,433.1888034242847
238,1,752,65.0,156.04,1345.4089207710665
239,1,890,65.0,156.92,1466.8070884889728
240,1,792,65.0,157.66,1267.990337281148
241,1,523,85.0,180.27,1214.202103206217
244,1,827,65.0,182.44,1228.2451481937637
245,1,1272,65.0,183.98,1207.5131273153795
249,3,2177,65.0,184.62,1209.4872736553798
250,1,1417,60.0,184.69,980.060075434359
251,1,1219,65.0,184.94,887.4926029535294
252,1,1042,60.0,185.32,949.347064190071
253,1,1437,65.0,185.51,852.8714258361464
254,2,1250,65.0,188.42,887.4926029535294
255,1,669,60.0,188.57,670.0357660708671
256,1,494,60.0,189.27,1267.990337281148
257,1,277,65.0,189.65,1185.3683430541128
259,1,1313,60.0,191.37,778.315626947432
260,1,1230,65.0,193.56,949.347064190071
261,2,1646,60.0,194.51,266.41194217461674
262,1,512,65.0,195.05,1226.952483984425
263,1,474,125.0,195.31,1228.2451481937637
264,1,842,65.0,195.97,1437.9378005113447
265,1,1395,65.0,196.35,734.179149496537
266,1,1377,65.0,196.95,1167.23518213323
267,2,1428,65.0,197.18,734.179149496537
268,1,1439,65.0,198.62,734.179149496537
269,1,1175,65.0,199.04,1466.8070884889728
270,1,1351,65.0,199.27,1466.8070884889728
271,1,1250,65.0,199.59,1352.5988318989857
272,2,2177,60.0,199.81,852.8714258361464
273,1,396,65.0,202.1,1324.436717326947
274,2,2462,65.0,202.85,1185.3683430541128
275,1,781,60.0,203.05,1115.9126211382425
276,1,1429,65.0,203.08,1207.5131273153795
277,1,1132,65.0,211.02,1302.9473069901694
278,1,1330,65.0,212.32,1367.3157206193225
279,1,1390,65.0,214.36,1367.3157206193225
280,2,1990,65.0,215.0,806.5401522794567
281,2,1355,60.0,216.58,1110.370211622377
282,1,450,60.0,217.22,2031.1042190087455
283,5,6795,60.0,217.93,433.1888034242847
284,3,3879,60.0,219.82,433.1888034242847
285,1,1451,65.0,221.76,949.347064190071
286,1,1341,65.0,222.27,1466.8070884889728
287,1,1341,65.0,222.27,1466.8070884889728
288,1,1284,65.0,222.38,1127.4485411055168
289,1,1262,65.0,222.5,1179.6540928676413
290,2,1960,65.0,222.77,855.5900918106032
291,1,390,65.0,224.7,2446.769902337744
292,1,1792,65.0,226.07,1324.436717326947
293,1,472,60.0,227.32,2044.3115376875542
294,1,2033,65.0,227.4,875.0379223540084
296,1,1610,60.0,230.04,722.8176627888323
297,2,1475,65.0,230.59,1008.2602029280096
299,1,1427,65.0,234.28,1421.8327877656768
300,2,2044,65.0,235.8,1185.3683430541128
301,2,1810,65.0,237.52,734.179149496537
302,2,1838,65.0,237.83,734.179149496537
303,2,2067,65.0,238.09,1226.952483984425
304,3,2674,65.0,241.25,648.5370129368381
305,3,3314,65.0,243.42,433.1888034242847
306,2,2354,65.0,244.24,852.8714258361464
307,2,2475,60.0,244.48,949.347064190071
308,2,2213,65.0,245.27,875.0379223540084
310,3,2401,60.0,247.55,1074.0049851388987
311,2,1761,65.0,249.05,1324.436717326947
312,1,1519,60.0,249.85,887.4926029535294
313,2,2430,65.0,250.62,852.8714258361464
314,6,7536,60.0,251.03,433.1888034242847
315,1,1848,65.0,251.15,887.4926029535294
316,2,2409,65.0,251.31,806.5401522794567
317,1,1509,65.0,254.01,1478.8353579708346
318,3,2530,60.0,260.3,433.1888034242847
319,2,2908,60.0,260.67,1352.5988318989857
320,2,2133,65.0,263.42,950.2109674727451
321,2,1729,65.0,264.25,1352.5988318989857
322,2,1757,60.0,264.56,1352.5988318989857
323,2,1912,65.0,264.68,1345.4089207710665
324,3,3904,60.0,265.27,177.45305609075515
325,2,2756,60.0,266.61,869.9194393254604
326,6,8469,60.0,269.14,433.1888034242847
327,1,1770,60.0,270.35,852.8714258361464
328,2,2202,65.0,273.03,887.4926029535294
329,3,2134,65.0,273.95,1367.3157206193225
330,3,2727,65.0,277.09,852.8714258361464
331,2,2225,65.0,280.31,1267.990337281148
332,2,1945,60.0,281.81,852.8714258361464
333,3,2349,65.0,283.81,806.5401522794567
334,1,1410,65.0,284.23,1352.5988318989857
335,2,2217,65.0,284.6,1367.3157206193225
336,2,2217,65.0,284.6,1367.3157206193225
337,1,1833,60.0,287.0,806.5401522794567
338,2,2553,65.0,287.43,1209.4872736553798
339,2,2198,65.0,287.55,1352.5988318989857
340,4,5908,65.0,290.52,266.41194217461674
341,2,2285,65.0,290.65,1008.2602029280096
342,5,5468,60.0,291.12,855.5900918106032
343,2,2591,65.0,291.71,1226.952483984425
344,2,2603,65.0,293.05,1207.5131273153795
345,2,2351,65.0,295.96,1267.990337281148
346,3,2414,60.0,296.2,666.8418188181817
348,2,712,125.0,297.49,973.3895816260906
349,3,2916,65.0,298.94,806.5401522794567
350,2,1830,65.0,303.09,1302.9473069901694
351,3,1963,65.0,303.09,1316.3843068821575
352,2,2353,60.0,303.99,1352.5988318989857
353,2,2427,65.0,305.53,1267.990337281148
354,1,1816,65.0,305.6,1630.433934090656
355,3,2175,60.0,306.37,1352.5988318989857
356,2,2002,60.0,308.86,987.452372129913
357,2,2328,65.0,309.47,1352.5988318989857
358,2,2316,65.0,309.61,1008.2602029280096
359,3,3941,60.0,311.26,734.179149496537
360,2,2457,65.0,312.54,1008.2602029280096
361,6,7336,65.0,314.94,433.1888034242847
362,2,3502,60.0,317.0,798.8183187712632
363,9,11699,60.0,317.7,433.1888034242847
364,2,2444,65.0,319.18,1349.6559029628695
366,4,6868,60.0,320.72,798.8183187712632
367,3,3397,60.0,325.37,806.5401522794567
368,3,3323,65.0,330.81,666.8418188181817
369,3,3308,65.0,331.89,1226.952483984425
370,5,2465,70.0,332.2,887.4926029535294
371,2,3520,60.0,335.47,875.0379223540084
372,3,3966,60.0,335.88,447.30251443448486
373,2,2678,65.0,340.0,869.9194393254604
374,6,8932,60.0,341.63,433.1888034242847
375,2,3349,60.0,342.08,855.5900918106032
376,2,2132,65.0,346.52,1437.574572675189
377,2,2848,60.0,348.27,1228.2451481937637
378,1,1756,60.0,348.92,973.3895816260906
379,2,2225,65.0,349.58,1302.9473069901694
380,4,6975,60.0,350.33,855.5900918106032
381,3,3686,60.0,351.28,1008.2602029280096
382,1,863,65.0,355.65,1179.6540928676413
383,2,2827,65.0,355.89,1267.990337281148
384,2,2380,60.0,356.15,1367.3157206193225
385,5,6103,60.0,360.08,743.6773699394266
386,2,3085,65.0,363.25,1074.0049851388987
387,3,3624,60.0,364.45,869.9194393254604
388,2,2433,65.0,365.8,1228.2451481937637
389,4,7178,60.0,371.4,855.5900918106032
390,3,3510,65.0,374.91,855.5900918106032
391,4,6127,65.0,379.21,433.1888034242847
392,3,2997,60.0,384.55,734.179149496537
393,4,2432,70.0,386.38,1267.990337281148
394,3,3844,60.0,387.63,1008.2602029280096
395,5,6308,65.0,390.43,433.1888034242847
396,3,2751,60.0,390.6,1352.5988318989857
397,4,4354,60.0,395.09,869.9194393254604
398,4,4357,60.0,395.09,869.9194393254604
400,12,16767,60.0,399.47,29.065430946602977
401,6,7595,60.0,402.47,177.45305609075515
402,6,7595,60.0,403.13,177.45305609075515
403,3,3107,65.0,403.42,1228.2451481937637
404,5,5171,65.0,407.28,805.7207472379569
405,11,14835,65.0,410.92,433.1888034242847
406,4,5640,65.0,412.31,734.179149496537
407,5,6912,60.0,413.57,433.1888034242847
408,3,2613,65.0,414.49,1367.3157206193225
409,4,5080,65.0,421.67,855.5900918106032
410,2,3028,60.0,423.37,887.4926029535294
411,3,3781,65.0,423.49,919.6772274915619
412,3,5286,65.0,424.63,875.0379223540084
413,2,3185,65.0,425.8,991.7639611063445
414,3,3405,65.0,428.89,973.3895816260906
415,4,3969,65.0,435.47,1367.3157206193225
416,2,2666,65.0,436.37,987.452372129913
417,7,3934,65.0,442.91,1185.3683430541128
419,3,3970,65.0,446.96,1207.5131273153795
420,3,3150,60.0,447.18,806.5401522794567
421,6,11515,65.0,448.05,1215.8161708063233
422,2,2357,65.0,448.84,1480.8184038634831
423,3,2721,65.0,452.72,1316.3843068821575
424,3,3552,65.0,455.99,1367.3157206193225
425,1,1435,65.0,457.67,1352.5988318989857
426,3,3110,65.0,457.85,666.8418188181817
427,3,4752,65.0,458.19,973.3895816260906
428,4,5526,65.0,458.7,855.5900918106032
429,3,5286,65.0,460.66,875.0379223540084
431,3,2459,60.0,467.76,1100.9069014314161
432,6,8558,60.0,468.11,869.9194393254604
433,6,8448,60.0,468.11,869.9194393254604
434,3,4342,65.0,468.51,887.4926029535294
435,5,7581,60.0,469.14,855.5900918106032
436,5,5943,60.0,469.14,887.4926029535294
437,6,7174,60.0,473.68,869.9194393254604
438,3,2465,60.0,476.68,1352.5988318989857
439,3,4450,65.0,481.27,869.9194393254604
440,5,5814,60.0,482.3,1207.5131273153795
441,2,3390,60.0,482.47,869.9194393254604
442,3,3151,60.0,483.28,1008.2602029280096
