Pickup Date,Month,Origin Zip,Destination Zip,Pieces,Weight,Commodity Class,Base Retail,R/ Lift Gate Delivery,R/ Fuel Surcharge,Billed
10/25/17,Oct,75261,37802,1,309,65,126.7,,28.64,$155.34 
10/25/17,Oct,75261,84120,1,1219,65,180.05,,40.7,$220.75 
10/26/17,Oct,75261,90501,1,119,85,124.84,,28.21,$161.23 
10/26/17,Oct,75261,7712,1,119,85,126.7,,28.64,$155.34 
10/26/17,Oct,75261,85711,1,119,85,126.7,,28.64,$155.34 
10/26/17,Oct,75261,11706,1,119,85,141.6,,32.01,$173.61 
10/27/17,Oct,75261,7032,1,550,65,141.57,,32,$173.57 
10/27/17,Oct,75261,33478,1,738,65,163.62,,36.97,$200.59 
10/31/17,Oct,75261,78617,1,239,65,116.07,58.04,26.23,$200.34 
10/31/17,Oct,75261,80301,1,265,65,126.7,,28.64,$155.34 
10/31/17,Oct,75261,71227,1,800,65,126.7,,28.64,$155.34 
10/31/17,Oct,75261,29609,1,1022,65,142.52,,32.2,$174.72 
10/31/17,Oct,92649,75261,1,540,92.5,158.15,,35.74,$201.49 
10/31/17,Oct,75261,43551,1,1123,65,179.88,,40.66,$220.54 
11/3/17,Nov,75261,93446,1,376,65,124.81,,28.33,$161.32 
11/8/17,Nov,75261,85658,1,215,85,104.96,52.48,24.14,$315.70 
11/8/17,Nov,75261,77303,1,478,65,126.59,,29.11,$155.70 
11/8/17,Nov,75261,48071,1,653,65,130.68,,30.05,$160.73 
11/13/17,Nov,75261,92543,1,119,85,124.73,,28.69,$161.60 
11/13/17,Nov,75261,80022,1,125,85,126.59,,29.11,$155.70 
11/13/17,Nov,75261,32804,1,342,65,126.59,,29.11,$155.70 
11/14/17,Nov,75261,92708,1,462,65,115.06,57.53,26.46,$206.59 
11/14/17,Nov,75261,94546,1,110,85,124.73,,28.69,$161.60 
11/14/17,Nov,75261,84120,1,181,250,168.16,,39.01,$207.17 
11/15/17,Nov,90660,92879,4,6010,65,150.83,,46.45,$283.06 
11/16/17,Nov,75261,91710,1,220,65,124.68,,28.93,$161.78 
11/16/17,Nov,75261,98020,1,522,65,133.4,,30.94,$279.34 
11/17/17,Nov,75261,30168,1,1024,65,136.83,,31.74,$168.57 
11/17/17,Nov,75261,66105,1,1590,65,179.63,,41.67,$221.30 
11/22/17,Nov,75261,80301,1,122,85,126.53,50,29.35,$205.88 
11/28/17,Nov,75261,84120,1,528,65,126.53,,29.35,$155.88 
11/28/17,Nov,75261,46516,1,706,65,130.29,,30.22,$160.51 
